trial_id	subject	run	onset	duration	trial_type	material	response	beta_index	include_mvpa	source_events	source_preproc_bold
sub-002_run-03_trial-001	sub-002	03	10.5	9.0	stimulation	V4	0	0	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-002	sub-002	03	22.5	9.0	stimulation	Xn	0	1	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-003	sub-002	03	34.5	9.0	stimulation	I6	0	2	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-004	sub-002	03	46.5	9.0	stimulation	E6	0	3	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-005	sub-002	03	58.5	9.0	stimulation	Vn	0	4	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-006	sub-002	03	70.5	9.0	stimulation	Vn	1	5	False	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-007	sub-002	03	82.5	9.0	stimulation	X3	0	6	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-008	sub-002	03	94.5	9.0	stimulation	J8	0	7	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-009	sub-002	03	106.5	9.0	stimulation	N3	0	8	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-010	sub-002	03	118.5	9.0	stimulation	L6	0	9	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
